ccode,Country,year,leadername,business,econ_finance,rgdpe,lnrgdpe,growth,cpg_sw2014,war,law,militarycareer,nato,business_add_close,econ_finance_close,business_nostate,business_exclude_lowlevel,rgdpo,expenditures_total,expenditures_total_million,expenditures_2014,nondefspend,nondefspend_ch,defspend_usa,defspend_ch_usa,diff_us,polconiii,polityfrompolity,polcon_abvmean,polcon_blwmean,cpg_mf,mids_per_yr,business_econ_finance,econ_finance_nobiz,def.exp,def.delta
385,Norway,1986,Brundtland,0,0,108856.8906,11.59778976,-2.304118872,3.293150663,0,0,0,1,0,0,0,0,108864.2813,47337280600,47337,51392.32813,46142.32813,2.861914873,607188,6.898731232,-10.0531311,0.453721851,10,1,0,3.293150663,0,0,0,4259.986947,-3.159368771
385,Norway,1987,Brundtland,0,0,108939.8359,11.5985508,0.076198578,4,0,0,0,1,0,0,0,0,111544.8906,49353880861,49353,53581.03516,47994.03516,4.01303339,599976,-1.187770486,7.606818199,0.453721851,10,1,0,4,3,0,0,4533.439352,6.419090211
385,Norway,1988,Brundtland,0,0,107403.7266,11.58435059,-1.410055161,4,0,0,0,1,0,0,0,0,107012.125,48867548989,48867,53053.40234,47728.40234,-0.553470492,586731,-2.207588196,-2.481869698,0.453721851,10,1,0,4,1,0,0,4320.747276,-4.69162724
385,Norway,1989,Brundtland,0,0,109857.6719,11.60694122,2.284789085,3.583561659,0,0,0,1,0,0,0,0,111348.4141,50393834502,50393,54710.13281,49244.13281,3.175740957,580705,-1.027046442,3.674933672,0.453721851,10,1,0,3.583561659,0,0,0,4435.4471,2.654629324
385,Norway,1990,Syse,1,0,112534.7969,11.63101768,2.436900139,2.317808151,0,0,0,1,1,0,1,1,123667.9375,52653600708,52653,57163.74609,51652.74609,4.891168118,554742,-4.470944881,5.294216156,0.512737274,10,1,0,2.317808151,0,1,0,4471.257762,0.807374344
385,Norway,1991,Brundtland,0,0,115381.8516,11.65600204,2.529931068,4,0,0,0,1,0,0,0,0,124196.4375,55724409153,55724,60497.83594,55153.83594,6.778129101,487221,-12.17160416,9.141301155,0.512737274,10,1,0,4,0,0,0,4335.980772,-3.025479565
385,Norway,1992,Brundtland,0,0,116846.4063,11.66861534,1.269316673,4,0,0,0,1,0,0,0,0,128282.3047,59102529053,59102,64165.22656,58374.22656,5.838923931,514822,5.664985657,2.69953537,0.512737274,10,1,0,4,0,0,0,4698.932099,8.370685805
385,Norway,1993,Brundtland,0,0,121060.5,11.7040453,3.606522083,4,0,0,0,1,0,0,0,0,129333.6875,61245533669,61245,66491.8125,61094.8125,4.660594463,487764,-5.255797386,-1.547863483,0.512737274,10,1,0,4,0,0,0,4378.81352,-6.8125815
385,Norway,1994,Brundtland,0,0,126214.4609,11.74573803,4.2573452,4,0,0,0,1,0,0,0,0,134346.2188,62127848698,62127,67449.375,61775.375,1.113944769,460072,-5.677335739,10.80981636,0.504780114,10,1,0,4,0,0,0,4604.229435,5.147876559
385,Norway,1995,Brundtland,0,0,132909.9688,11.79742718,5.304861069,4,0,0,0,1,0,0,0,0,145567.9375,62757355001,62757,68133.34375,63008.34375,1.995890379,433220,-5.836477757,-3.839235783,0.504780114,10,1,0,4,0,0,0,4158.006894,-9.691579166
